30 graphs in nwdGraphs30.txt

** G1: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      (34, 54, 33.522)
      (35, 50, 85.927)
      (36, 15, 68.571)
      (38, 34, 14.275)
      (39, 54, 63.815)
      (40, 19, 53.512)
      (40, 42, 34.491)
      (41, 32, 71.769)
      (41, 40, 64.283)
      (41, 56, 78.738)
      (42, 59,  8.912)
      (45, 18, 14.973)
      (45, 54, 51.529)
      (46,  8,  6.299)
      (47, 27, 51.569)
      (49, 54, 73.191)
      (51,  1, 58.631)
      (51, 10, 37.565)
      (52, 40, 12.427)
      (53,  4, 27.432)
      (53, 35, 51.495)
      (55, 38, 46.396)
      (55, 57, 77.606)
      (56, 46,  3.114)
      (57, 58,  9.057)
      (59, 10, 25.617) }
------------------------- 

** G21: |V|=65, V={0,1,...64}
(u, v, weight) E = { 
      ( 0, 26, 41.822)
      ( 0, 41, 53.118)
      ( 2, 31, 49.084)
      ( 2, 62, 49.148)
      ( 4, 38, 86.167)
      ( 4, 46, 99.898)
      ( 5, 22, 97.595)
      ( 5, 64, 62.004)
      ( 6, 41,  0.945)
      ( 6, 52, 87.947)
      ( 8, 17, 93.877)
      ( 8, 52, 67.962)
      ( 9,  3, 26.063)
      (10,  1, 47.239)
      (13,  5, 45.421)
      (13, 31, 99.937)
      (14, 25, 96.619)
      (15, 10, 52.456)
      (15, 46,  7.996)
      (16, 18, 90.312)
      (17, 21, 16.637)
      (17, 43, 64.545)
      (19,  6, 11.826)
      (22, 53, 23.458)
      (23, 34, 88.384)
      (23, 48, 41.113)
      (23, 54, 41.586)
      (24, 10, 55.752)
      (24, 41, 51.514)
      (24, 44, 72.525)
      (24, 49, 59.928)
      (25,  1, 39.157)
      (25, 35, 52.359)
      (26,  5, 28.124)
      (28, 38, 15.911)
      (28, 43, 14.557)
      (29,  8, 75.386)
      (29, 17, 21.376)
      (29, 56, 89.462)
      (29, 63, 26.070)
      (30,  1, 51.735)
      (30, 18, 53.412)
      (31, 23, 57.167)
      (31, 45, 12.427)
      (34, 20, 22.815)
      (35, 20, 87.138)
      (35, 60, 14.268)
      (36, 57, 33.370)
      (37, 62, 54.255)
      (38, 56, 92.472)
      (42, 23, 34.100)
      (42, 58, 22.589)
      (43, 54, 69.910)
      (46, 31,  8.805)
      (46, 37,  9.419)
      (47, 15, 75.095)
      (48,  2, 91.621)
      (48, 16, 82.887)
      (48, 41, 30.643)
      (48, 58, 26.357)
      (49, 34, 14.610)
      (50,  5, 50.374)
      (50, 47,  5.872)
      (51,  2, 53.247)
      (52, 30, 37.915)
      (53, 27, 56.109)
      (53, 48, 73.789)
      (54, 45, 98.789)
      (54, 46, 87.555)
      (54, 50, 58.065)
      (55, 56,  9.200)
      (55, 59, 76.119)
      (56, 35, 20.291)
      (56, 50,  7.172)
      (57, 45,  4.386)
      (58, 64, 51.189)
      (59,  6,  2.927)
      (59, 26, 15.294)
      (62,  9, 30.460) }
------------------------- 

** G22: |V|=65, V={0,1,...64}
(u, v, weight) E = { 
      ( 0,  7, 13.303)
      ( 0, 35, 15.695)
      ( 0, 30, -1.325)
      ( 2,  8, 23.561)
      ( 2, 41, 41.057)
      ( 2, 59, -4.467)
      ( 2, 64, -6.883)
      ( 4, 20, 30.433)
      ( 4, 36, 66.595)
      ( 4, 56, 23.572)
      ( 5, 25, 81.943)
      ( 7, 17, 20.475)
      ( 7, 37, 88.070)
      ( 7, 40, -5.055)
      ( 7, 53, 85.187)
      ( 9,  5, 88.246)
      ( 9, 45,  8.565)
      (12,  4, 40.689)
      (13, 33, -6.598)
      (15, 31, 47.994)
      (17, 32,  1.333)
      (17, 47, 92.635)
      (18, 24, 23.151)
      (19, 21, 68.052)
      (20, 25, 63.260)
      (20, 44, 28.605)
      (20, 47, 64.622)
      (23, 48,  3.846)
      (25, 18, -13.481)
      (26,  0,  6.476)
      (28, 29, 75.451)
      (28, 33, 11.537)
      (28, 60, 16.348)
      (29, 61, 77.386)
      (30, 45, 55.385)
      (30, 56, 57.501)
      (31, 59, 74.362)
      (31, 60, 32.058)
      (33, 50, 15.004)
      (33, 54, 12.800)
      (33, 55, 19.590)
      (34,  2, 41.081)
      (34, 24, 88.831)
      (34, 51, 16.510)
      (35, 14, 58.884)
      (36,  6, 37.277)
      (36, 20, 32.647)
      (38, 35,  5.992)
      (39,  3, 57.774)
      (39, 34, 55.611)
      (40,  7, 75.072)
      (40, 12, 16.931)
      (41, 11, 26.874)
      (42,  4,  8.397)
      (42,  5, 19.229)
      (42, 55, 47.097)
      (42, 63, 82.288)
      (43, 11, 70.780)
      (43, 25, 42.700)
      (43, 64, 18.875)
      (44, 54, 34.555)
      (44, 59, 32.268)
      (45,  4, -4.310)
      (45, 35, 38.713)
      (46, 20, 61.402)
      (46, 34, -2.285)
      (48,  6, 27.308)
      (48, 24, -12.464)
      (48, 61, -1.464)
      (49,  2,  0.211)
      (51, 44,  3.119)
      (52, 18, 42.783)
      (52, 42, 67.331)
      (54, 34, 34.200)
      (55, 56, -10.992)
      (56, 52, 59.458)
      (57, 59, 38.114)
      (58, 31, 29.689)
      (59,  2, 59.963)
      (59, 18, 18.161)
      (59, 39, -7.015)
      (60, 17, 19.395)
      (60, 36, 28.120)
      (62, 27, -21.873)
      (63, 26, 23.747)
      (64,  9, 23.181)
      (64, 22, 40.399) }
------------------------- 

** G23: |V|=70, V={0,1,...69}
(u, v, weight) E = { 
      ( 0, 57, 20.375)
      ( 1, 20, 41.092)
      ( 1, 34, 70.187)
      ( 1, 66, -18.652)
      ( 2,  1, 32.643)
      ( 2, 12, 83.581)
      ( 4, 10, -21.049)
      ( 4, 30, 22.832)
      ( 4, 40, 30.254)
      ( 4, 49, 12.041)
      ( 4, 69, 64.425)
      ( 5, 20, -9.236)
      ( 5, 51,  8.392)
      ( 6,  0, 21.846)
      ( 7, 36, 70.485)
      ( 7, 59, 82.378)
      ( 8, 64, -10.476)
      ( 9, 14, 22.225)
      ( 9, 49, 46.920)
      (10,  8, 52.693)
      (10, 59, 60.202)
      (11, 48, 29.889)
      (12, 32, 85.671)
      (12, 47, 56.022)
      (13, 19,  8.961)
      (14,  3,  8.888)
      (14, 16, 65.691)
      (15,  0, 63.651)
      (15, 28, -11.809)
      (17, 32, 86.674)
      (18, 30, 88.686)
      (20, 61, 54.491)
      (21, 66, -10.238)
      (22, 46, 94.892)
      (23, 15, 35.127)
      (23, 60,  3.271)
      (24, 49,  1.470)
      (24, 56, 69.032)
      (25,  2, 67.522)
      (26, 34, 79.045)
      (26, 65, 58.506)
      (28,  9, 68.924)
      (28, 52, 72.970)
      (29, 12, -0.471)
      (29, 18, 43.303)
      (29, 32, 63.361)
      (29, 50, 40.779)
      (31, 65, 57.404)
      (32, 39,  3.249)
      (32, 49, -5.582)
      (34, 39, -14.059)
      (34, 45, 96.803)
      (34, 66, 38.314)
      (35, 48, 25.394)
      (37, 16,  9.466)
      (37, 29, -5.412)
      (38, 63, 73.774)
      (39,  9, 72.997)
      (39, 30, 31.896)
      (39, 36, 24.378)
      (40, 13, -6.724)
      (40, 34, 19.667)
      (41, 16, 22.021)
      (42, 11,  1.390)
      (42, 15, 93.622)
      (44, 31,  0.066)
      (45, 36, 85.917)
      (47,  6, 70.164)
      (47, 13, -4.678)
      (49, 59, 75.535)
      (50, 16, 61.486)
      (50, 30, 38.123)
      (50, 31, 34.328)
      (50, 35, 21.666)
      (52, 14, -5.759)
      (52, 35, 74.008)
      (53, 42,  1.805)
      (54,  9, 41.635)
      (55, 11, 17.962)
      (55, 68, 51.888)
      (56, 25, 31.462)
      (57, 46, 63.221)
      (60, 35, 29.036)
      (61,  6, 30.834)
      (61, 45, 44.097)
      (62,  2, 56.339)
      (63, 15, -8.704)
      (63, 36, -0.075)
      (63, 50, 76.024)
      (63, 58, 27.377)
      (66, 43, 64.880)
      (67, 13, 50.739)
      (68, 41, 11.959)
      (68, 64, 41.613) }
------------------------- 

** G24: |V|=70, V={0,1,...69}
(u, v, weight) E = { 
      ( 0,  1, 73.057)
      ( 0,  2, -4.246)
      ( 0,  7, 94.466)
      ( 0, 13, 75.085)
      ( 0, 63, 51.778)
      ( 2,  3, 61.232)
      ( 2,  4, 39.748)
      ( 2,  5, 52.165)
      ( 2,  6, 15.873)
      ( 2, 62,  1.087)
      ( 3,  9, 40.279)
      ( 3, 22, 17.498)
      ( 7, 10, 62.561)
      ( 7, 39,  2.062)
      ( 8, 19, 58.396)
      ( 8, 35, 24.962)
      ( 8, 36, 29.792)
      ( 9, 18, 41.450)
      ( 9, 23, 71.507)
      ( 9, 26, 69.365)
      ( 9, 49,  8.317)
      (11, 15, 91.841)
      (11, 16, -12.425)
      (12, 21, 45.107)
      (12, 41, 29.577)
      (13, 33, 44.398)
      (13, 48, 43.635)
      (15, 13, 89.520)
      (15, 24, 14.989)
      (15, 55, 56.514)
      (16, 17, 30.781)
      (16, 40, 60.390)
      (17, 29, 41.285)
      (17, 52, -7.715)
      (18, 34, 52.601)
      (18, 37, 56.087)
      (19, 24, 56.032)
      (19, 30,  4.403)
      (19, 39, 36.960)
      (19, 44,  4.253)
      (21, 31, 60.500)
      (23, 67, -4.249)
      (24, 25, 58.035)
      (24, 27, 73.663)
      (24, 45, -11.781)
      (24, 57,  7.264)
      (30, 56, 58.135)
      (30, 61,  8.357)
      (30, 64,  9.804)
      (31, 32, 95.139)
      (31, 48, 90.827)
      (31, 68, 11.144)
      (32,  7,  7.901)
      (33, 42, 48.725)
      (34,  6, 89.460)
      (34, 67, 57.035)
      (36, 53, 19.798)
      (38,  9, 36.652)
      (38, 23, 95.487)
      (39, 43, 10.085)
      (39, 50, 41.953)
      (40, 13, 56.092)
      (40, 51, 70.993)
      (40, 60, 51.414)
      (41,  5, 44.544)
      (41, 19, 65.541)
      (41, 47, 76.218)
      (41, 50,  0.357)
      (41, 54, 58.490)
      (43, 53, -1.152)
      (44, 20, 51.838)
      (44, 36,  4.870)
      (44, 65, 21.311)
      (45, 28, 71.932)
      (46, 30, 49.579)
      (47, 50, 61.806)
      (48,  8, 72.505)
      (48, 45, 27.707)
      (48, 58, 86.848)
      (48, 65, 14.674)
      (49, 46, 22.018)
      (50, 43, 78.837)
      (51,  7, 50.711)
      (51, 41, 23.572)
      (51, 54, 27.493)
      (52, 66, 14.185)
      (53, 30, 49.769)
      (54, 59, 24.687)
      (56,  3, 35.898)
      (56, 13, 80.829)
      (56, 43, 15.340)
      (60, 16,  5.560)
      (62, 11, 31.921)
      (62, 12, 21.878)
      (62, 35, 20.490)
      (62, 42, 15.554)
      (63, 17, 26.801)
      (63, 44, 51.532)
      (64, 21, 63.699)
      (64, 47, 78.640)
      (64, 53, -12.425)
      (65,  2, 18.487)
      (65, 69, 74.379)
      (66,  0, 13.730)
      (66, 19, 43.387)
      (67, 14, 52.475)
      (67, 28, 11.282)
      (67, 38, 72.793)
      (67, 68, 34.123)
      (69, 46,  6.869) }
------------------------- 

** G25: |V|=75, V={0,1,...74}
(u, v, weight) E = { 
      ( 0, 13, 42.682)
      ( 0, 50, 19.337)
      ( 0, 52, 61.840)
      ( 1,  3, 55.383)
      ( 1, 62, 89.702)
      ( 2, 38, 15.693)
      ( 4, 65, 37.595)
      ( 5,  4, 85.925)
      ( 5, 65,  2.823)
      ( 6, 55, 78.550)
      ( 7, 67, 15.434)
      ( 8, 39, 27.205)
      ( 8, 41, 68.080)
      ( 9, 14,  1.036)
      ( 9, 53, 29.786)
      ( 9, 62, 56.019)
      ( 9, 72, 59.121)
      (11, 25, 26.397)
      (12, 24, 81.159)
      (12, 63, 51.533)
      (13, 23,  0.243)
      (13, 64, 62.251)
      (15, 16, 10.637)
      (15, 30, 74.035)
      (17,  0, -15.217)
      (17, 54, 71.650)
      (18,  2,  0.245)
      (18, 49,  8.880)
      (21, 63, 51.810)
      (22, 48, 32.682)
      (23,  5, 77.537)
      (23, 42, 49.071)
      (25, 29, 44.439)
      (26,  7, 26.764)
      (26, 10, 13.217)
      (26, 68, -12.039)
      (28, 54, 65.774)
      (28, 59,  3.541)
      (30, 26, 10.774)
      (30, 63, -1.636)
      (32, 23, 48.740)
      (34,  6, 69.570)
      (34, 15, -0.497)
      (34, 44,  6.479)
      (35, 11, 48.600)
      (35, 24, 62.180)
      (35, 32, 66.105)
      (35, 46, 22.876)
      (35, 65, 38.201)
      (37, 36, 37.626)
      (37, 45, 47.473)
      (38,  7, 16.277)
      (38, 10, -20.756)
      (38, 50, 18.905)
      (39, 55, 22.898)
      (40, 32, 15.471)
      (40, 51, 66.562)
      (40, 74,  0.440)
      (41,  3, 76.064)
      (41, 20,  2.866)
      (41, 29, 46.292)
      (41, 58, 15.297)
      (41, 70, 12.087)
      (44,  0, 27.979)
      (45,  8, 45.340)
      (45, 58, 50.047)
      (45, 72, 18.947)
      (46, 48, 57.159)
      (47, 15, 35.585)
      (47, 19, -8.526)
      (47, 28, 71.518)
      (48, 15, 74.029)
      (48, 38, 79.220)
      (48, 70, 35.128)
      (50, 48, 69.956)
      (51, 60, -6.697)
      (52, 51, 11.970)
      (53, 57, 18.409)
      (54, 10, 86.861)
      (54, 28, 90.821)
      (54, 51, -12.135)
      (57, 41, 28.867)
      (57, 73, 43.595)
      (58, 29, -12.396)
      (58, 35,  2.195)
      (59,  1, 83.850)
      (59, 13, 33.168)
      (59, 32, 52.795)
      (60,  0, -16.348)
      (61, 15, 19.198)
      (61, 27, 32.873)
      (62, 12,  6.093)
      (62, 32, 19.019)
      (62, 50, -8.995)
      (63,  8, -15.838)
      (63, 49, 82.779)
      (63, 61,  2.987)
      (66,  8, -13.667)
      (68, 62, 50.857)
      (68, 67, 35.796)
      (69, 48, 69.094)
      (71, 18, 12.098)
      (71, 36, 74.434)
      (72, 22, 66.769)
      (72, 31, 39.102)
      (72, 55, 63.010)
      (74, 42, 41.510)
      (74, 52, 78.712) }
------------------------- 

** G26: |V|=75, V={0,1,...74}
(u, v, weight) E = { 
      ( 0,  1,  0.966)
      ( 0,  2, 89.365)
      ( 0,  3, 16.635)
      ( 0,  4, 10.975)
      ( 0,  9, 72.087)
      ( 0, 14, 82.933)
      ( 1,  8, 54.749)
      ( 1, 33,  5.310)
      ( 2, 49,  8.369)
      ( 2, 51, 28.879)
      ( 3, 13, 28.125)
      ( 4, 12, 47.557)
      ( 4, 54, 52.341)
      ( 5, 11, 60.385)
      ( 5, 16, 16.498)
      ( 5, 21,  9.472)
      ( 5, 41, 96.204)
      ( 7, 19, 13.384)
      ( 7, 39, 91.981)
      ( 8, 23, 71.346)
      ( 8, 25, 83.066)
      ( 8, 55, 20.615)
      ( 9, 32, 24.349)
      ( 9, 68, 83.183)
      (10,  5,  0.410)
      (10, 22, 59.848)
      (10, 54, 18.902)
      (12, 15, 85.655)
      (13, 24, 94.064)
      (13, 25, 71.569)
      (13, 30, 89.790)
      (13, 39, 23.826)
      (14, 27, 89.101)
      (14, 50, 83.431)
      (16, 69, 85.903)
      (16, 70, 46.432)
      (17,  6, 83.232)
      (17, 33, 72.782)
      (17, 38, 17.618)
      (18, 11, 73.120)
      (19,  5, 50.022)
      (20,  6, 10.095)
      (20, 11, 95.575)
      (20, 61, 90.625)
      (21, 14, 15.802)
      (21, 74,  9.696)
      (22,  3, 10.535)
      (22, 52, 48.514)
      (23, 31, 38.896)
      (23, 40, 29.941)
      (23, 45, 15.665)
      (23, 67,  8.269)
      (24, 15,  8.624)
      (24, 28, 91.893)
      (24, 48, 64.082)
      (24, 62, 57.072)
      (24, 71, 36.355)
      (26, 55, 37.502)
      (27, 53, 57.586)
      (28, 60, 74.362)
      (29, 36, 34.630)
      (30, 33, 61.180)
      (30, 35,  7.383)
      (31, 66, 89.782)
      (33, 46, 47.694)
      (34, 37, 90.216)
      (35, 66, 62.464)
      (36, 20, 77.436)
      (36, 43, 44.787)
      (37, 35, 13.140)
      (37, 44, 81.138)
      (38, 20, 56.976)
      (39, 17, 45.227)
      (39, 29, 67.949)
      (39, 56, 80.699)
      (42, 26, 29.790)
      (42, 61, 30.474)
      (43,  7,  0.101)
      (43, 51, 98.261)
      (43, 58, 17.061)
      (43, 62, 10.611)
      (43, 63, 28.677)
      (45,  2, 75.099)
      (46, 18, 71.322)
      (46, 28, 24.413)
      (48, 59, 67.138)
      (49, 11, 76.423)
      (49, 42, 44.405)
      (50, 64, 88.878)
      (51, 35, 93.464)
      (51, 52, 76.451)
      (51, 65, 87.845)
      (52, 54, 15.266)
      (52, 55, 60.094)
      (54, 57, 56.081)
      (56, 50,  8.052)
      (58, 41, 99.360)
      (59, 34, 71.928)
      (59, 52, 36.598)
      (59, 72, 27.909)
      (60, 30, 84.570)
      (60, 56, 53.037)
      (61, 47, 58.500)
      (62, 29, 26.621)
      (63, 22, 45.980)
      (63, 44, 29.380)
      (63, 46, 94.250)
      (63, 52, 31.193)
      (65,  6, 27.655)
      (65, 59, 59.835)
      (65, 73, 45.056)
      (66, 26, 69.757)
      (67, 18, 54.916)
      (67, 62, 93.507)
      (68, 59,  1.064)
      (68, 73,  9.419)
      (70,  7, 85.859)
      (71, 10, 78.632)
      (71, 20, 30.130)
      (71, 67, 25.561)
      (72,  1, 62.121)
      (72, 20, 87.734)
      (72, 71, 85.795)
      (74, 48,  6.788)
      (74, 51, 15.093) }
------------------------- 

** G27: |V|=80, V={0,1,...79}
(u, v, weight) E = { 
      ( 0,  1, 30.728)
      ( 0, 26, 47.288)
      ( 1,  9, 55.174)
      ( 1, 30, 47.052)
      ( 2, 37,  7.554)
      ( 2, 40,  2.436)
      ( 2, 79, 65.823)
      ( 3,  0, 94.002)
      ( 3, 12, 51.757)
      ( 3, 15, 51.982)
      ( 3, 35, 49.236)
      ( 3, 50, 28.699)
      ( 5,  3, 76.050)
      ( 5,  8, 20.725)
      ( 5, 24, 77.266)
      ( 6, 32, 64.301)
      ( 6, 36, 75.869)
      ( 8, 64, 17.992)
      ( 9, 30, 10.325)
      ( 9, 52, 31.610)
      ( 9, 72, 19.635)
      (10, 22, 79.604)
      (11, 57, 95.973)
      (12, 34, 11.466)
      (12, 64, 90.257)
      (12, 69, 68.598)
      (13, 10, 39.961)
      (13, 29, 46.672)
      (13, 76, 25.799)
      (14, 12, 82.250)
      (14, 43, 77.323)
      (15, 10, 12.116)
      (15, 60, 42.386)
      (16, 17, 44.469)
      (17, 11, 84.566)
      (18, 13, 48.090)
      (18, 16, 91.868)
      (18, 25, 17.291)
      (18, 55, 92.167)
      (18, 73, 57.394)
      (20, 33,  1.672)
      (20, 48, 91.233)
      (20, 64, 70.146)
      (21, 77, 85.334)
      (22, 37, 30.134)
      (22, 41, 78.323)
      (22, 72,  6.930)
      (23, 20, 95.372)
      (23, 26,  9.032)
      (23, 44, 55.333)
      (23, 49, 74.916)
      (23, 58, 21.570)
      (25, 20, 24.622)
      (26,  6,  7.901)
      (26, 27, 11.406)
      (27, 63, 48.645)
      (28,  2, 73.098)
      (29,  0, 53.327)
      (29, 39, 39.130)
      (29, 65, 51.059)
      (29, 75, 53.549)
      (31, 25, 39.188)
      (31, 45, 92.610)
      (32,  4, 68.565)
      (32, 41, 24.484)
      (32, 62, 97.678)
      (33, 57, 84.901)
      (33, 74, 40.981)
      (36, 12, 91.770)
      (39, 72, 34.290)
      (40, 23, 52.777)
      (41, 29, 89.791)
      (41, 66, 41.833)
      (41, 72, 89.803)
      (42, 23, 23.380)
      (42, 26,  8.080)
      (42, 28, 90.470)
      (42, 54, 75.547)
      (42, 67, 15.071)
      (43, 38, 97.845)
      (43, 59, 24.853)
      (44, 11, 98.838)
      (44, 78, 56.924)
      (45, 71, 11.914)
      (46, 19, 18.500)
      (46, 31, 46.071)
      (46, 68, 39.387)
      (49,  7, 64.906)
      (51, 32, 92.876)
      (53, 47, 91.725)
      (54, 20, 82.736)
      (54, 33,  3.636)
      (54, 70, 57.306)
      (56, 38, 40.596)
      (56, 43, 31.726)
      (56, 46, 34.317)
      (58, 18, 99.425)
      (59, 24, 91.674)
      (59, 71, 43.278)
      (60, 61, 65.615)
      (60, 64, 51.731)
      (61, 18, 75.581)
      (62, 66,  5.693)
      (62, 79, 24.233)
      (63, 25, 91.385)
      (64,  6, 79.946)
      (64, 14, 97.255)
      (64, 43, 72.727)
      (64, 71, 88.021)
      (66,  3, 88.502)
      (66, 19, 87.698)
      (66, 51, 93.853)
      (66, 60, 76.402)
      (66, 65, 51.000)
      (67, 49,  5.736)
      (68, 21, 26.435)
      (68, 39, 53.721)
      (68, 48, 97.192)
      (69, 12, 77.318)
      (71, 18, 30.952)
      (71, 56, 73.120)
      (72,  5, 32.989)
      (72, 53, 15.844)
      (73,  6, 48.778)
      (73, 72, 62.465)
      (74, 43, 53.940)
      (74, 71,  3.653)
      (75, 17, 65.528)
      (76, 14,  2.320)
      (76, 42, 36.911)
      (77, 56, 43.879)
      (78, 67, 38.649)
      (79,  0, 76.970)
      (79, 47, 77.667)
      (79, 53, 11.393) }
------------------------- 

** G28: |V|=80, V={0,1,...79}
(u, v, weight) E = { 
      ( 0, 53, 51.920)
      ( 0, 71, 16.018)
      ( 1, 32, 59.924)
      ( 2, 42, 58.572)
      ( 2, 49, 29.434)
      ( 3,  9, -13.103)
      ( 3, 32, 38.112)
      ( 4, 21, 43.242)
      ( 4, 29,  4.883)
      ( 7, 44, 47.526)
      ( 7, 70, 49.946)
      ( 8, 33, 22.928)
      ( 9, 40, 80.207)
      ( 9, 53, 65.128)
      ( 9, 62, 54.590)
      ( 9, 63, 63.223)
      ( 9, 65, 61.922)
      (10, 62, 44.450)
      (11, 15, 63.149)
      (11, 78, 18.458)
      (14, 22, 38.357)
      (15, 10, 25.045)
      (15, 33, 66.101)
      (16, 25, 46.517)
      (17, 77, 90.902)
      (18, 72, 25.177)
      (19, 13, 64.923)
      (19, 16, 52.222)
      (19, 17, 75.572)
      (20, 61, 43.987)
      (21, 58, 57.917)
      (22,  5, 13.482)
      (23, 15, 66.142)
      (23, 33, -8.205)
      (24,  3, -1.676)
      (24, 53, 14.409)
      (24, 57, -0.835)
      (24, 66, 65.736)
      (25, 18,  5.115)
      (25, 59, 73.329)
      (25, 63, 65.706)
      (27, 21, 40.504)
      (27, 70, 35.997)
      (28,  9, 30.171)
      (28, 49, 38.345)
      (29, 31, 79.261)
      (30, 41, 52.300)
      (30, 44, 75.330)
      (31, 56, 25.070)
      (31, 64, 87.126)
      (32, 23, 25.311)
      (32, 30, 40.814)
      (33,  5, 60.003)
      (35, 24, 19.522)
      (37, 12, 17.026)
      (37, 25, -2.692)
      (38, 11, 58.714)
      (38, 13, -5.570)
      (38, 21, -1.627)
      (38, 31, 43.330)
      (38, 33, 42.724)
      (38, 79, 87.000)
      (39, 72, 88.412)
      (40,  9, 41.979)
      (40, 52, 46.294)
      (40, 68, -1.226)
      (40, 74, 70.109)
      (41,  3, -11.364)
      (41,  6, 57.675)
      (44, 18, 65.230)
      (44, 24, 79.401)
      (45, 27, 65.113)
      (45, 44, 79.137)
      (45, 77, 79.921)
      (46,  0, 47.357)
      (46,  4, 42.126)
      (47, 38, -4.549)
      (50,  7, 30.148)
      (51, 33, 63.154)
      (51, 43, 95.585)
      (52,  2, 17.986)
      (52,  3, 63.217)
      (52, 15,  8.735)
      (53, 27, 65.842)
      (54, 75, 64.158)
      (55, 35, 49.985)
      (55, 63, 66.705)
      (55, 72, 38.611)
      (57, 37, 63.216)
      (58, 65, 36.677)
      (59, 25, 31.238)
      (59, 48, 64.134)
      (59, 56, 32.279)
      (60, 24, -5.687)
      (60, 25, 60.862)
      (61, 11, 42.301)
      (61, 44, 46.359)
      (61, 59, 17.248)
      (62, 22, 66.171)
      (62, 61, 39.705)
      (63, 23, 42.604)
      (66, 10, -8.556)
      (67, 45, -12.242)
      (67, 60, -7.063)
      (68, 15,  3.631)
      (68, 29, -3.799)
      (69, 64,  7.731)
      (70, 15, 59.964)
      (70, 20, 54.471)
      (70, 24, 83.399)
      (72, 57, 15.597)
      (72, 69, 42.959)
      (73, 25, 18.444)
      (74,  9, 72.121)
      (74, 29, 14.939)
      (76, 27, 73.913)
      (76, 62, 20.229)
      (76, 63, -11.430)
      (78, 60, 23.462)
      (79, 67, 36.956) }
------------------------- 

** G29: |V|=85, V={0,1,...84}
(u, v, weight) E = { 
      ( 0,  1, 77.510)
      ( 0, 25, 24.586)
      ( 0, 49,  8.977)
      ( 1,  2, 91.835)
      ( 1,  3,  5.420)
      ( 1, 10, 52.442)
      ( 1, 31, 53.210)
      ( 1, 36, 38.729)
      ( 1, 37, 21.117)
      ( 1, 43, 69.334)
      ( 1, 48, 53.118)
      ( 2, 60,  5.183)
      ( 2, 68, 40.237)
      ( 3, 80, 31.807)
      ( 4, 17, 67.404)
      ( 4, 18, 45.643)
      ( 4, 58, 44.980)
      ( 4, 62, 81.986)
      ( 4, 84, 87.349)
      ( 5,  9,  8.541)
      ( 6, 31, 20.384)
      ( 7, 43, 85.591)
      ( 7, 66, 26.985)
      ( 7, 75, 47.441)
      ( 8, 24, 24.965)
      ( 9, 24, 56.549)
      ( 9, 28, 95.297)
      (10, 33, 76.616)
      (10, 74, 65.087)
      (11, 27, 29.096)
      (12, 16,  3.124)
      (12, 41,  5.600)
      (12, 51,  3.851)
      (12, 61, 62.347)
      (12, 80, 36.256)
      (13, 19, 12.256)
      (14, 21, 71.465)
      (14, 33, 44.805)
      (14, 39, 70.058)
      (15, 40, 95.027)
      (15, 64, 46.771)
      (16,  4, 75.061)
      (16, 51, 70.997)
      (16, 83, 63.559)
      (17,  1, 88.525)
      (17, 32, 32.050)
      (17, 45, 89.990)
      (17, 59, 69.860)
      (17, 64, 82.260)
      (18, 11, 74.478)
      (19, 56, 14.539)
      (19, 73, 36.817)
      (19, 79, 87.256)
      (20,  0, 38.989)
      (20, 42, 89.384)
      (20, 44, 60.291)
      (20, 52, 44.370)
      (21, 75, 72.429)
      (22,  0, 20.427)
      (22, 15, 89.832)
      (22, 45, 57.215)
      (23, 17,  4.688)
      (23, 53, 37.266)
      (24, 57, 21.498)
      (26, 15, 98.912)
      (26, 53, 17.593)
      (27, 35, 90.829)
      (28, 82, 89.909)
      (29, 30, 26.145)
      (30,  0, 73.455)
      (30, 80, 30.694)
      (31, 50, 54.284)
      (31, 78,  3.403)
      (32, 34, 17.154)
      (32, 76, 63.484)
      (34, 57,  5.762)
      (34, 69, 30.352)
      (35, 73, 11.265)
      (36, 37, 49.371)
      (36, 58, 54.081)
      (38, 17, 63.574)
      (38, 44, 52.779)
      (38, 55, 57.281)
      (39, 61, 83.171)
      (40,  2, 34.170)
      (40, 49, 52.761)
      (41, 25, 11.542)
      (41, 38, 70.634)
      (41, 84, 42.674)
      (42, 16, 35.143)
      (42, 53, 76.269)
      (42, 74, 90.766)
      (44,  4, 95.339)
      (44, 14, 38.157)
      (45,  6, 86.081)
      (45, 19, 73.663)
      (45, 26, 31.206)
      (45, 79, 22.718)
      (46,  8, 70.901)
      (46, 29, 69.262)
      (46, 82, 89.302)
      (47, 48, 92.048)
      (47, 69, 45.683)
      (47, 75, 66.450)
      (48,  0, 36.779)
      (48, 13, 83.214)
      (48, 37, 13.827)
      (48, 54,  3.971)
      (50, 22, 90.929)
      (52, 11, 90.389)
      (53, 67,  9.420)
      (54, 49, 91.673)
      (54, 69, 80.350)
      (55, 27, 22.136)
      (56,  2, 82.423)
      (56, 37, 72.053)
      (56, 72, 98.840)
      (57, 17, 54.122)
      (57, 46, 46.002)
      (57, 80, 77.598)
      (58, 30,  8.762)
      (58, 65, 14.850)
      (58, 78, 89.994)
      (59, 11, 10.789)
      (59, 44, 41.926)
      (60, 24, 91.709)
      (61,  5, 33.501)
      (62,  8, 48.180)
      (63, 19, 22.791)
      (63, 77, 98.420)
      (64, 16, 58.116)
      (64, 38,  4.354)
